step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,5846300,4495,9570,35.998295,,0,9,9,108,72888,6182,3577,5773412,16,160,1303,1,119722,1,240,1,696738,1,1021086,1,191711,1,3729577,1,13035,1,815578,1,16632,4,578499,4,101236,4,755031,4,1394819,8,2146273,108,0,0,4409,1,54105,1,3086,1,0,0,0,0,0,0,664436,1,129100,1,99362,1,37483,1,73733,1,539163,1,43003,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,3914400,4196,9570,35.993866,,0,8,8,96,39031,1343,1814,3875369,16,149,150,1,42512,1,110,1,505017,1,388672,1,92900,1,2832802,1,13206,1,415083,1,11482,4,482293,4,78141,4,623517,4,1192317,8,1814020,96,0,0,3016,1,22994,1,2615,1,0,0,0,0,0,0,357392,1,23686,1,4559,1,12234,1,27543,1,437807,1,27102,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3675600,4142,9570,35.986713,,0,8,8,96,33151,1182,1623,3642449,16,149,90,1,24818,1,90,1,476592,1,347973,1,87449,1,2692370,1,13065,1,285663,1,12043,4,479708,4,78372,4,621984,4,1185234,8,1805594,96,0,0,2976,1,22574,1,2635,1,0,0,0,0,0,0,323807,1,17023,1,4228,1,15610,1,22023,1,411456,1,27263,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,3648500,4111,9570,35.976837,,0,8,8,96,31380,1132,3047,3617120,16,149,20,1,24628,1,50,1,459259,1,351600,1,85576,1,2683022,1,12965,1,280974,1,11853,4,475841,4,78452,4,618848,4,1187428,8,1803228,96,0,0,2896,1,23015,1,2585,1,0,0,0,0,0,0,326933,1,17634,1,4118,1,4910,1,21441,1,406737,1,25930,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,3690400,4100,9570,35.964233,,0,8,8,96,31229,2555,1945,3659171,16,149,50,1,24738,1,20,1,455151,1,350779,1,84163,1,2731175,1,13095,1,276846,1,12194,4,480149,4,78031,4,640149,4,1213448,8,1851652,96,0,0,2956,1,22183,1,2665,1,0,0,0,0,0,0,326722,1,17273,1,3888,1,4819,1,21522,1,402799,1,25850,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,3634500,4087,9570,35.948902,,0,8,8,96,32169,2805,1804,3602331,16,149,170,1,24598,1,70,1,450291,1,339407,1,87259,1,2687531,1,13005,1,276535,1,11793,4,476372,4,78382,4,618477,4,1195624,8,1812297,96,0,0,2856,1,22103,1,2585,1,0,0,0,0,0,0,315470,1,17514,1,3677,1,4749,1,20420,1,400685,1,24257,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,3776700,4079,9570,35.93085,,0,8,8,96,38536,1262,1874,3738164,16,149,170,1,30088,1,80,1,489557,1,375617,1,92359,1,2737437,1,12855,1,301333,1,11953,4,482975,4,79303,4,629127,4,1202828,8,1830082,96,0,0,3316,1,22714,1,2625,1,0,0,0,0,0,0,352192,1,16552,1,3878,1,9148,1,23275,1,421997,1,34767,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3691800,4073,9570,35.910072,,0,8,8,96,31747,1183,3497,3660053,16,149,20,1,30048,1,40,1,460932,1,351791,1,86357,1,2717729,1,13135,1,283919,1,12204,4,481171,4,78912,4,627244,4,1204862,8,1828608,96,0,0,3397,1,22243,1,2595,1,0,0,0,0,0,0,327043,1,18115,1,3737,1,4839,1,21752,1,406717,1,27443,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,3703900,4066,9570,35.88657,,0,8,8,96,31183,1182,1895,3672717,16,149,90,1,24758,1,40,1,455451,1,355668,1,84133,1,2739471,1,13105,1,275704,1,11783,4,480049,4,78963,4,627895,4,1232495,8,1858496,96,0,0,4719,1,24047,1,2635,1,0,0,0,0,0,0,331381,1,17484,1,3857,1,4819,1,21331,1,404723,1,24407,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,3649800,4061,9570,35.86034,,0,8,8,96,30666,1242,1894,3619134,16,149,40,1,24578,1,30,1,451434,1,343655,1,83762,1,2702700,1,12935,1,274662,1,11863,4,480510,4,78833,4,623336,4,1204801,8,1826244,96,0,0,2835,1,22013,1,2605,1,0,0,0,0,0,0,320500,1,16772,1,3597,1,4839,1,19768,1,402178,1,24467,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
