step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17373900,4495,9570,35.998295,,0,9,9,108,112629,5010,3578,17261271,16,158,461,1,118895,1,90,1,495650,1,2613690,1,133975,1,13883250,1,15260,1,565919,1,9308,4,539006,4,66993,4,4278392,4,8390315,8,12665129,108,0,0,4789,1,20721,1,2796,1,0,0,0,0,0,0,0,0,0,0,0,0,34248,1,73505,1,335944,1,49267,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15093100,4196,9570,35.993866,,0,8,8,96,76168,1343,2315,15016932,16,146,291,1,45771,1,120,1,367858,1,2456288,1,110809,1,12024794,1,11002,1,342427,1,7274,4,485270,4,65259,4,3758624,4,7340519,8,11096828,96,0,0,2936,1,18577,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,6122,1,28556,1,305825,1,26482,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,14646900,4142,9570,35.986713,,0,8,8,96,75449,1252,3668,14571451,16,146,140,1,24448,1,60,1,292589,1,2315139,1,109336,1,11812524,1,17214,1,266577,1,7304,4,478226,4,65369,4,3710419,4,7259989,8,10966740,96,0,0,2866,1,17986,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,17164,1,21543,1,225015,1,28536,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,15048700,4111,9570,35.976837,,0,8,8,96,188388,4419,2405,14860312,16,146,140,1,38526,1,271,1,356415,1,2408093,1,84307,1,11958933,1,13627,1,349461,1,7655,4,503726,4,64478,4,3823472,4,7182416,8,11003483,96,0,0,2926,1,17865,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6282,1,29418,1,285374,1,34909,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,14779500,4100,9570,35.964233,,0,8,8,96,163922,1252,4699,14615578,16,146,150,1,26953,1,130,1,348359,1,2275471,1,105128,1,11845910,1,13477,1,273711,1,7515,4,477675,4,64728,4,3720809,4,7276131,8,10992241,96,0,0,2755,1,18827,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,6323,1,27575,1,278842,1,35180,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14624600,4087,9570,35.948902,,0,8,8,96,93299,4329,2195,14531301,16,146,60,1,32775,1,140,1,285525,1,2477099,1,83495,1,11641526,1,10681,1,254022,1,7465,4,470100,4,64598,4,3648266,4,7168789,8,10814860,96,0,0,2796,1,18657,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,5591,1,29408,1,221929,1,28276,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14768200,4079,9570,35.93085,,0,8,8,96,168794,1293,2295,14599406,16,146,170,1,33286,1,90,1,329762,1,2386811,1,107172,1,11728758,1,13356,1,272309,1,7244,4,482274,4,64608,4,3670119,4,7207185,8,10875010,96,0,0,2775,1,18436,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,9519,1,28506,1,256618,1,34659,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14629800,4073,9570,35.910072,,0,8,8,96,93779,1242,2286,14536021,16,146,90,1,32735,1,531,1,271727,1,2436690,1,84768,1,11698779,1,10701,1,271106,1,7214,4,475901,4,64948,4,3662684,4,7192756,8,10853155,96,0,0,2836,1,17595,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,5290,1,29037,1,209294,1,27835,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,14870900,4066,9570,35.88657,,0,8,8,96,169542,1062,2375,14701358,16,146,170,1,33015,1,130,1,324281,1,2480937,1,104336,1,11745121,1,13366,1,269944,1,7565,4,470511,4,64427,4,3676381,4,7230050,8,10904057,96,0,0,2806,1,19849,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,9529,1,29358,1,249814,1,35270,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14718500,4061,9570,35.86034,,0,8,8,96,93183,1192,2185,14625317,16,146,70,1,33276,1,551,1,269994,1,2520335,1,83205,1,11707226,1,10661,1,253000,1,7214,4,476292,4,65169,4,3684728,4,7196584,8,10879127,96,0,0,2826,1,17715,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,5942,1,28797,1,206739,1,28216,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
10,14810500,4053,9570,35.831387,,0,8,8,96,179622,1373,3517,14630878,16,146,160,1,32785,1,110,1,330864,1,2375559,1,105699,1,11772034,1,13667,1,268551,1,7625,4,471713,4,64618,4,3677103,4,7257414,8,10931000,96,0,0,2786,1,18316,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,15120,1,29939,1,250375,1,35049,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,1240,1,1,1,0,1
11,14644700,4054,9570,35.79971,,0,8,8,96,93910,1202,2426,14550790,16,146,150,1,33927,1,561,1,271467,1,2409035,1,85168,1,11739680,1,10801,1,251628,1,7234,4,474028,4,64948,4,3716872,4,7200301,8,10914747,96,0,0,2886,1,18066,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6353,1,27154,1,209965,1,27685,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,1240,1,1,1,0,1
12,14909900,4056,9570,35.765305,,0,8,8,96,168273,1262,2385,14741627,16,146,170,1,32815,1,150,1,323790,1,2491167,1,105499,1,11774308,1,13727,1,271537,1,7405,4,471523,4,64738,4,3699046,4,7230461,8,10927122,96,0,0,2755,1,23046,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,9629,1,28556,1,250766,1,34618,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,1240,1,1,1,0,1
13,14765900,4055,9570,35.728176,,0,8,8,96,130864,1192,2175,14635036,16,146,70,1,32815,1,130,1,268852,1,2510485,1,83104,1,11724059,1,15521,1,260455,1,7294,4,475340,4,64928,4,3675440,4,7215972,8,10889237,96,0,0,2836,1,18046,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,6493,1,28186,1,205216,1,28707,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
14,15099400,4060,9570,35.688324,,0,8,8,96,162256,1333,2485,14937144,16,146,561,1,31883,1,150,1,353690,1,2530485,1,104517,1,11902011,1,13847,1,271357,1,7445,4,473476,4,65139,4,3692844,4,7362853,8,11053212,96,0,0,2936,1,21092,1,3537,1,0,0,0,0,0,0,0,0,0,0,0,0,6142,1,30621,1,281697,1,34829,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
15,14639800,4057,9570,35.64575,,0,8,8,96,83459,1343,2165,14556341,16,146,180,1,36031,1,170,1,355413,1,2333265,1,83966,1,11736754,1,10561,1,266006,1,8086,4,477284,4,65159,4,3678746,4,7216824,8,10893406,96,0,0,2886,1,17905,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6282,1,30130,1,283140,1,35360,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,1240,1,1,1,0,1
16,14864500,4055,9570,35.600445,,0,8,8,96,170136,1303,2385,14694364,16,146,170,1,32725,1,140,1,346746,1,2409536,1,103916,1,11787464,1,13667,1,273561,1,7415,4,473857,4,64568,4,3696201,4,7247324,8,10941140,96,0,0,2866,1,17855,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,9749,1,29007,1,273060,1,34538,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,1240,1,1,1,0,1
17,14675600,4051,9570,35.552414,,0,8,8,96,92596,1252,2195,14583004,16,146,100,1,33937,1,261,1,279934,1,2434094,1,82884,1,11741173,1,10621,1,249303,1,7224,4,475420,4,84116,4,3680109,4,7218818,8,10896732,96,0,0,2826,1,19609,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,5050,1,28757,1,217721,1,28025,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,1240,1,1,1,0,1
18,14614100,4049,9570,35.501663,,0,8,8,96,112417,1333,2225,14501683,16,146,140,1,29889,1,120,1,277278,1,2303226,1,86561,1,11793276,1,11192,1,272920,1,7324,4,481562,4,69017,4,3696922,4,7235631,8,10930328,96,0,0,3186,1,22785,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,8086,1,35009,1,205376,1,28446,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,1240,1,1,1,0,1
19,14892400,4050,9570,35.448185,,0,8,8,96,157696,1333,2756,14734704,16,146,160,1,32635,1,160,1,312799,1,2407752,1,105068,1,11864847,1,11282,1,269042,1,7435,4,477204,4,64818,4,3724386,4,7297113,8,11018744,96,0,0,2775,1,18246,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,6042,1,27765,1,243251,1,35310,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,1240,1,1,1,0,1
20,17987100,4829,9570,35.391983,,0,14,12,144,122295,1372,3678,17864805,16,218,160,1,39658,1,60,1,269433,1,2535675,1,156329,1,14852617,1,10872,1,401093,1,7625,4,604415,4,64778,4,4704605,4,9039610,8,13627593,144,112943,24,3266,1,23326,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,9559,1,23927,1,207150,1,28526,1,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,1240,1,1,1,0,1
21,17042800,4715,9570,35.333054,,0,13,11,132,173003,1202,3257,16869797,16,206,180,1,33536,1,70,1,325534,1,2795600,1,132903,1,13562345,1,19629,1,350303,1,7745,4,534678,4,64538,4,4235838,4,8335076,8,12485164,132,82493,24,3116,1,27324,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,9619,1,29468,1,251207,1,34889,1,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,1240,1,1,1,0,1
22,16528200,4565,9570,35.2714,,0,13,10,120,111019,1353,3227,16417181,16,206,130,1,32895,1,130,1,352938,1,2626084,1,128675,1,13254416,1,21913,1,390162,1,7976,4,554747,4,65590,4,4165058,4,8041956,8,12029543,120,174245,36,3156,1,21893,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,6032,1,29278,1,281938,1,35220,1,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,1240,1,1,1,0,1
23,16341400,4496,9570,35.207024,,0,13,10,120,118082,1262,3177,16223318,16,206,140,1,54257,1,50,1,365994,1,2692746,1,100338,1,12985574,1,24218,1,317819,1,7244,4,510389,4,64648,4,4055822,4,7973821,8,11865769,120,160698,36,3106,1,48696,1,2765,1,0,0,0,0,0,0,0,0,0,0,0,0,15030,1,28206,1,284713,1,36723,1,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,1240,1,1,1,0,1
