step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,7122000,4495,9570,35.998295,,0,9,9,108,57426,5000,4409,7064574,16,158,301,1,127970,1,361,1,514126,1,2633203,1,160865,1,3614072,1,13677,1,721452,1,13046,4,315217,4,67001,4,818071,4,1619950,8,2433612,108,0,0,5310,1,44407,1,4619,1,0,0,0,0,0,0,0,0,0,0,0,0,36181,1,76410,1,347911,1,50819,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,6078000,4196,9570,35.993866,,0,8,8,96,51337,1192,2415,6026663,16,146,501,1,53475,1,100,1,367028,1,2493349,1,114113,1,2985222,1,12875,1,401806,1,7194,4,268385,4,65007,4,747934,4,1469726,8,2215245,96,0,0,2846,1,18606,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,6693,1,29428,1,303514,1,26802,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,5616300,4142,9570,35.986713,,0,8,8,96,45429,1242,3919,5570871,16,146,180,1,25610,1,70,1,292222,1,2299760,1,109905,1,2830529,1,12595,1,269137,1,7364,4,265940,4,65468,4,739417,4,1458404,8,2193902,96,0,0,2876,1,18186,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,16693,1,21522,1,225722,1,27955,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,5560500,4111,9570,35.976837,,0,8,8,96,46580,3778,2295,5513920,16,146,170,1,26091,1,80,1,278745,1,2294229,1,87571,1,2814397,1,12635,1,260480,1,7354,4,264838,4,65247,4,735960,4,1453715,8,2187380,96,0,0,2816,1,17715,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,5040,1,21733,1,223948,1,27694,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,5536300,4100,9570,35.964233,,0,8,8,96,45896,1252,5000,5490404,16,146,180,1,25229,1,80,1,279066,1,2281244,1,86119,1,2805941,1,12545,1,257163,1,7404,4,264347,4,65288,4,737313,4,1450078,8,2182391,96,0,0,2715,1,17855,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,21402,1,224409,1,27915,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,5520300,4087,9570,35.948902,,0,8,8,96,48392,4178,2195,5471908,16,146,180,1,25921,1,70,1,277573,1,2281515,1,86349,1,2787705,1,12595,1,255330,1,7344,4,262494,4,65378,4,730049,4,1440138,8,2167992,96,0,0,2745,1,17554,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,4920,1,20911,1,223788,1,27654,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,5519400,4079,9570,35.93085,,0,8,8,96,38595,1283,2305,5480805,16,146,130,1,23426,1,40,1,273495,1,2297877,1,86098,1,2787154,1,12585,1,255420,1,7254,4,262293,4,64827,4,730710,4,1441551,8,2169956,96,0,0,2805,1,18506,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,4799,1,21392,1,218798,1,28295,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,5522200,4073,9570,35.910072,,0,8,8,96,46435,1293,2335,5475765,16,146,180,1,25490,1,70,1,278124,1,2286384,1,85948,1,2786994,1,12575,1,255119,1,7384,4,262914,4,65618,4,730119,4,1441861,8,2169645,96,0,0,2745,1,17434,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,4950,1,20911,1,224129,1,27814,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,5504100,4066,9570,35.88657,,0,8,8,96,33335,992,2255,5470765,16,146,80,1,23436,1,40,1,274056,1,2284981,1,86189,1,2789398,1,12585,1,254508,1,7344,4,262073,4,65257,4,733515,4,1442062,8,2173323,96,0,0,2745,1,18416,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4789,1,21392,1,219590,1,28105,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,5528600,4061,9570,35.86034,,0,8,8,96,32395,1072,2295,5496205,16,146,40,1,23676,1,50,1,265600,1,2307105,1,84265,1,2802845,1,12625,1,287372,1,7294,4,261081,4,65097,4,726702,4,1429948,8,2154355,96,0,0,2705,1,19107,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,4860,1,20380,1,212245,1,27935,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
