step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,7533400,4495,9570,35.998295,,0,9,9,108,91369,5951,4299,7442031,16,158,190,1,121755,1,351,1,687658,1,2790008,1,170279,1,3660448,1,11342,1,731042,1,11552,4,310730,4,67591,4,835553,4,1644826,8,2476081,108,0,0,4238,1,45147,1,3817,1,0,0,0,0,0,0,0,0,0,0,0,0,34436,1,72390,1,513562,1,64565,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,6327500,4196,9570,35.993866,,0,8,8,96,51561,1323,2325,6275939,16,146,210,1,47832,1,100,1,587084,1,2504216,1,88431,1,3037275,1,10791,1,373712,1,7474,4,268989,4,65466,4,769245,4,1526818,8,2293739,96,0,0,3016,1,18746,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,5982,1,25710,1,530124,1,24848,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,5891800,4142,9570,35.986713,,0,8,8,96,47675,1292,3918,5844125,16,146,160,1,23395,1,70,1,478043,1,2317545,1,103239,1,2910811,1,10861,1,264421,1,7204,4,267156,4,65687,4,764687,4,1516238,8,2277006,96,0,0,3246,1,18375,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,19428,1,21492,1,410663,1,26080,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,5811200,4111,9570,35.976837,,0,8,8,96,47099,4038,2195,5764101,16,146,170,1,23986,1,70,1,464988,1,2290523,1,85746,1,2887927,1,10691,1,256726,1,7434,4,265633,4,65246,4,755629,4,1509214,8,2262649,96,0,0,3407,1,18095,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,5030,1,21311,1,414561,1,23736,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,5800800,4100,9570,35.964233,,0,8,8,96,45747,1383,4980,5755053,16,146,180,1,23455,1,80,1,464477,1,2286024,1,84523,1,2885612,1,10701,1,255744,1,7374,4,265553,4,65476,4,759707,4,1506730,8,2261457,96,0,0,2976,1,18185,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4990,1,21612,1,413789,1,23706,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,5809300,4087,9570,35.948902,,0,8,8,96,47354,3958,2255,5761946,16,146,170,1,23475,1,50,1,465138,1,2295142,1,83591,1,2883568,1,10811,1,254732,1,7575,4,264250,4,65667,4,754757,4,1508733,8,2261236,96,0,0,3316,1,18065,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,4879,1,21612,1,414561,1,23726,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,5790000,4079,9570,35.93085,,0,8,8,96,47130,1343,2505,5742870,16,146,170,1,23505,1,90,1,463816,1,2288880,1,85054,1,2870653,1,10701,1,253229,1,7364,4,263669,4,65587,4,759777,4,1494356,8,2251628,96,0,0,3306,1,19468,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,4919,1,21742,1,412987,1,23816,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,5815800,4073,9570,35.910072,,0,8,8,96,52040,1282,2555,5763760,16,146,170,1,23395,1,80,1,463034,1,2294350,1,84303,1,2887566,1,10861,1,253640,1,7364,4,264080,4,65697,4,753786,4,1517981,8,2269212,96,0,0,3326,1,17885,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,4980,1,21772,1,412176,1,23746,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,5795700,4066,9570,35.88657,,0,8,8,96,46839,1343,2235,5748861,16,146,170,1,23515,1,80,1,463335,1,2296455,1,84092,1,2870543,1,10671,1,252798,1,7404,4,262968,4,65597,4,757232,4,1497963,8,2252960,96,0,0,3306,1,19428,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,4940,1,21512,1,412867,1,23656,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,5791500,4061,9570,35.86034,,0,8,8,96,46867,1323,2355,5744633,16,146,170,1,23525,1,80,1,464958,1,2297727,1,84423,1,2863079,1,10671,1,253550,1,7414,4,263298,4,65587,4,753455,4,1493173,8,2244273,96,0,0,3306,1,19428,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,20660,1,415262,1,23676,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
10,5814100,4053,9570,35.831387,,0,8,8,96,49629,1303,2415,5764471,16,146,170,1,23586,1,80,1,464908,1,2300512,1,85114,1,2879350,1,10751,1,253369,1,7414,4,262537,4,65527,4,761030,4,1504736,8,2263350,96,0,0,2986,1,17945,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,20580,1,415272,1,23706,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,1240,1,1,1,0,1
11,5796800,4054,9570,35.79971,,0,8,8,96,45464,1373,2235,5751336,16,146,170,1,23435,1,70,1,467262,1,2301134,1,84513,1,2863730,1,11021,1,252618,1,7424,4,263228,4,65647,4,752924,4,1495277,8,2245967,96,0,0,4839,1,17895,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,4919,1,21542,1,416655,1,23786,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,1240,1,1,1,0,1
12,5772000,4056,9570,35.765305,,0,8,8,96,31885,1152,2275,5740115,16,146,50,1,23626,1,110,1,456081,1,2299531,1,84112,1,2865964,1,10641,1,250353,1,7314,4,262637,4,65577,4,754407,4,1499125,8,2251257,96,0,0,2896,1,19959,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,4779,1,21271,1,404922,1,24858,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,1240,1,1,1,0,1
13,5990500,4055,9570,35.728176,,0,8,8,96,47965,1483,2335,5942535,16,146,20,1,23586,1,80,1,453275,1,2329659,1,89172,1,3035983,1,10761,1,356789,1,7925,4,281193,4,69063,4,795476,4,1499916,8,2293058,96,0,0,2956,1,18696,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4709,1,21371,1,401846,1,25179,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
14,5902100,4060,9570,35.688324,,0,8,8,96,33297,1012,2205,5868803,16,146,20,1,34567,1,60,1,558889,1,2317906,1,84092,1,2862528,1,10741,1,255714,1,7224,4,261906,4,66639,4,754437,4,1492602,8,2244834,96,0,0,2866,1,17634,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,6182,1,26491,1,496629,1,29347,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
15,5748200,4057,9570,35.64575,,0,8,8,96,35088,1052,2185,5713112,16,146,30,1,23365,1,170,1,448095,1,2284982,1,84724,1,2861075,1,10671,1,249782,1,7264,4,262026,4,65206,4,753184,4,1499806,8,2250806,96,0,0,2876,1,17444,1,2435,1,0,0,0,0,0,0,0,0,0,0,0,0,4739,1,21041,1,398720,1,23435,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,1240,1,1,1,0,1
16,5757800,4055,9570,35.600445,,0,8,8,96,34618,1022,2325,5723182,16,146,90,1,23425,1,20,1,457644,1,2296154,1,85766,1,2847348,1,12735,1,250313,1,7274,4,262016,4,65256,4,749688,4,1489055,8,2236418,96,0,0,2795,1,17474,1,2455,1,0,0,0,0,0,0,0,0,0,0,0,0,4749,1,21281,1,406485,1,24938,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,1240,1,1,1,0,1
17,5746000,4051,9570,35.552414,,0,8,8,96,32337,992,2215,5713663,16,146,40,1,23566,1,20,1,453566,1,2286796,1,84984,1,2854041,1,10651,1,252427,1,7284,4,262377,4,64895,4,752253,4,1491250,8,2241288,96,0,0,2886,1,17203,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,4639,1,21552,1,402197,1,25038,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,1240,1,1,1,0,1
18,5758900,4049,9570,35.501663,,0,8,8,96,33664,1082,2225,5725236,16,146,90,1,23355,1,50,1,451432,1,2290713,1,85124,1,2862067,1,12404,1,250744,1,7314,4,261465,4,65036,4,750760,4,1502101,8,2250636,96,0,0,3407,1,17674,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4639,1,21231,1,401826,1,23515,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,1240,1,1,1,0,1
19,5745200,4050,9570,35.448185,,0,8,8,96,32589,982,2254,5712611,16,146,10,1,23726,1,50,1,453606,1,2293469,1,85375,1,2845705,1,10671,1,250905,1,7314,4,262036,4,64865,4,749888,4,1486831,8,2234465,96,0,0,2876,1,17524,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4639,1,20009,1,403539,1,25249,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,1240,1,1,1,0,1
20,6488300,4829,9570,35.391983,,0,14,12,144,33054,1092,3357,6455246,16,218,10,1,23375,1,20,1,455389,1,2428800,1,117036,1,3419994,1,10621,1,317653,1,7274,4,315289,4,65046,4,904226,4,1782983,8,2657111,144,26742,24,3407,1,20570,1,2455,1,0,0,0,0,0,0,0,0,0,0,0,0,4699,1,21311,1,405473,1,23746,1,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,1240,1,1,1,0,1
21,6654800,4715,9570,35.333054,,0,13,11,132,36310,1112,3056,6618490,16,206,10,1,23435,1,60,1,452063,1,2694112,1,106596,1,3331153,1,11061,1,311051,1,7264,4,306913,4,65316,4,876012,4,1735461,8,2590432,132,17985,24,3356,1,22203,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,4629,1,20950,1,402808,1,23455,1,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,1240,1,1,1,0,1
22,6486600,4565,9570,35.2714,,0,13,10,120,34160,1202,3066,6452440,16,206,30,1,24076,1,30,1,456992,1,2627394,1,103189,1,3230007,1,10721,1,301663,1,7304,4,297605,4,65086,4,847226,4,1682820,8,2488555,120,38424,36,3256,1,21371,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,4709,1,21211,1,407276,1,23616,1,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,1240,1,1,1,0,1
23,6475700,4496,9570,35.207024,,0,13,10,120,36786,1082,3067,6438914,16,206,10,1,23535,1,40,1,465319,1,2614419,1,101606,1,3223114,1,10871,1,290581,1,7665,4,303897,4,65286,4,839641,4,1688020,8,2489035,120,35559,36,3507,1,20950,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4579,1,21181,1,415643,1,23706,1,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,1240,1,1,1,0,1
24,6363100,4419,9570,35.13992,,0,12,10,120,34930,1172,3117,6328170,16,194,10,1,23495,1,70,1,460740,1,2590422,1,99011,1,3143440,1,10981,1,282185,1,8577,4,292174,4,65056,4,825404,4,1633053,8,2440692,120,14648,24,3296,1,30038,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4699,1,21712,1,409881,1,24247,1,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1,1240,1,1,1,0,1
25,6344400,4390,9570,35.07009,,0,12,9,108,31790,1914,2916,6312610,16,194,40,1,24678,1,60,1,460389,1,2619849,1,99312,1,3097561,1,10721,1,301292,1,7244,4,284119,4,64996,4,809483,4,1603036,8,2360468,108,49135,36,3176,1,19808,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,4859,1,21431,1,408148,1,25640,1,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1,1240,1,1,1,0,1
26,6262000,4353,9570,34.997536,,0,12,9,108,33623,1082,2746,6228377,16,194,30,1,23606,1,120,1,457644,1,2568921,1,97578,1,3069557,1,10921,1,274039,1,7214,4,283928,4,65176,4,809894,4,1603006,8,2369775,108,40378,36,3176,1,19578,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,4639,1,21512,1,407787,1,23545,1,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1,1240,1,1,1,0,1
27,6226600,4336,9570,34.92226,,0,12,9,108,30966,1052,2966,6195634,16,194,40,1,23485,1,70,1,457053,1,2559933,1,98140,1,3046222,1,10691,1,273027,1,7224,4,283077,4,65286,4,802339,4,1589409,8,2352883,108,35899,36,3206,1,19117,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4579,1,20610,1,407948,1,23766,1,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1,1240,1,1,1,0,1
