step,wall_ns,manifolds,pairs,top_y,awake
0,18948900,4495,9570,35.998295,
1,15563300,4300,9570,35.993866,
2,15494200,4339,9570,35.986713,
3,15737900,4335,9570,35.976837,
4,15474100,4329,9570,35.964233,
5,15648800,4324,9570,35.948902,
6,15134500,4326,9570,35.93085,
7,14980400,4319,9570,35.910072,
8,14971500,4316,9570,35.88657,
9,15049400,4312,9570,35.86034,
10,15126700,4307,9570,35.831387,
11,15268700,4307,9570,35.79971,
12,15462800,4306,9570,35.765305,
13,15301500,4306,9570,35.728176,
14,15460200,4307,9570,35.688324,
15,15306100,4306,9570,35.64575,
16,15454400,4303,9570,35.600445,
17,15426600,4298,9570,35.552414,
18,15214100,4298,9570,35.501663,
19,15205100,4297,9570,35.448185,
20,18850700,5077,9570,35.391983,
21,17241100,4687,9570,35.333054,
22,16732900,4536,9570,35.2714,
23,16634400,4464,9570,35.207024,
24,16575900,4397,9570,35.13992,
25,16169800,4359,9570,35.07009,
26,16467200,4312,9570,34.997536,
27,16290800,4295,9570,34.92226,
28,19131500,4934,9570,34.844257,
29,18332500,4786,9570,34.763527,
30,17883100,4665,9570,34.680073,
31,17921000,4617,9570,34.593895,
32,17576300,4578,9570,34.504993,
33,17373800,4536,9570,34.413364,
34,19516500,5039,9570,34.31901,
35,18701200,4827,9570,34.221935,
36,17307300,4630,9570,34.12213,
37,16684100,4510,9570,34.019604,
38,16438100,4408,9570,33.91435,
39,18690900,4880,9570,33.806374,
40,19012900,4979,9570,33.69567,
41,18488500,4855,9570,33.58224,
42,17556500,4689,9570,33.466087,
43,17496100,4655,9570,33.34721,
44,19121800,5072,9570,33.22561,
45,19262900,5053,9570,33.10128,
46,18134300,4767,9570,32.974224,
47,17480000,4624,9570,32.844448,
48,18596100,4898,9570,32.711945,
49,19348200,5015,9570,32.576717,
50,18539900,4836,9570,32.438763,
51,18020500,4704,9570,32.298084,
52,18658300,4886,9570,32.154682,
53,18818000,4850,9570,32.008553,
54,18162400,4701,9570,31.8597,
55,17870300,4656,9570,31.70812,
56,19170700,4755,9570,31.553818,
57,18963000,4733,9570,31.39679,
58,18328400,4658,9570,31.237036,
59,18370800,4682,9570,31.074558,
60,18857800,4642,9570,30.909355,
61,18328400,4557,9570,30.741426,
62,18431700,4591,9570,30.570772,
63,18415300,4578,9570,30.397394,
64,18535900,4530,9570,30.22129,
65,18313200,4530,9570,30.042463,
66,18597900,4531,9570,29.860909,
67,18302500,4532,9570,29.67663,
68,18600800,4513,9570,29.489626,
69,18225300,4475,9570,29.299898,
70,18368800,4477,9570,29.107445,
71,18449000,4474,9569,28.912266,
72,18283300,4455,9569,28.714361,
73,18283700,4472,9569,28.745037,
74,17720300,4465,9569,28.771923,
75,17359300,4458,9569,28.794498,
76,17373600,4464,9569,28.81284,
77,17680700,4463,9569,28.827902,
78,17734800,4462,9568,28.840885,
79,17585000,4456,9567,28.852116,
80,17716300,4458,9567,28.861916,
81,17698600,4462,9566,28.87016,
82,17614400,4462,9566,28.877672,
83,17716600,4464,9566,28.884876,
84,17497800,4460,9566,28.891674,
85,17952600,4454,9564,28.89812,
86,17783100,4452,9563,28.90361,
87,18150300,4461,9563,28.9092,
88,17745700,4461,9561,28.91393,
89,17417000,4461,9561,28.918192,
90,17664600,4460,9560,28.922281,
91,17842800,4461,9557,28.926441,
92,17042500,4462,9557,28.930197,
93,16888700,4459,9555,28.933605,
94,16841400,4455,9554,28.936785,
95,17474700,4464,9554,28.939753,
96,17376100,4454,9554,28.942532,
97,17250300,4453,9554,28.9452,
98,17049100,4449,9553,28.947609,
99,17132400,4452,9552,28.949892,
100,16878400,4462,9549,28.952118,
101,17126500,4454,9548,28.954184,
102,17218000,4455,9548,28.956179,
103,17288100,4460,9548,28.957949,
104,17348100,4463,9546,28.959707,
105,17386800,4462,9546,28.9613,
106,17286000,4463,9546,28.962826,
107,17142300,4465,9546,28.964285,
108,17237300,4465,9546,28.965742,
109,17169500,4465,9546,28.967031,
110,17323600,4466,9546,28.968155,
111,17203300,4468,9546,28.969242,
112,17317900,4464,9546,28.970312,
113,17221400,4466,9546,28.971327,
114,17364300,4467,9546,28.972305,
115,17454700,4467,9546,28.97322,
116,17230000,4465,9546,28.974094,
117,16783000,4465,9546,28.974928,
118,17170100,4466,9546,28.975708,
119,16779400,4467,9546,28.97645,
120,16615900,4463,9546,28.977146,
121,16994200,4463,9546,28.977818,
122,16823900,4462,9546,28.978441,
123,16873500,4463,9546,28.979033,
124,16896700,4462,9546,28.979574,
125,16908300,4463,9546,28.98009,
126,16935800,4466,9546,28.980558,
127,16945700,4466,9546,28.98101,
128,17033300,4468,9546,28.981445,
129,17107200,4465,9546,28.981846,
130,17102100,4468,9546,28.982235,
131,17088200,4466,9546,28.982603,
132,17089000,4467,9546,28.982958,
133,17104500,4465,9546,28.983284,
134,17107700,4464,9546,28.983583,
135,16985400,4468,9546,28.98386,
136,17004200,4468,9546,28.984129,
137,17059700,4466,9546,28.984394,
138,16671200,4469,9546,28.984627,
139,16466500,4467,9545,28.984867,
140,16424700,4466,9545,28.985088,
141,16537400,4466,9545,28.985296,
142,16640200,4466,9545,28.985493,
143,17087000,4468,9545,28.98568,
144,16631100,4471,9545,28.985857,
145,16907500,4470,9545,28.986025,
146,16715100,4468,9545,28.986183,
147,16774700,4467,9545,28.98633,
148,16843000,4465,9545,28.98647,
149,16876700,4466,9545,28.986603,
150,16801300,4467,9545,28.986732,
151,16760800,4467,9545,28.986855,
152,16887800,4465,9545,28.986967,
153,16936400,4464,9545,28.987074,
154,16777200,4465,9545,28.987171,
155,16722400,4466,9545,28.987276,
156,16523000,4466,9545,28.98737,
157,16827300,4464,9545,28.987461,
158,16853800,4468,9545,28.987545,
159,16623700,4466,9545,28.987621,
160,16722900,4466,9545,28.98769,
161,16913800,4467,9545,28.98776,
162,16936800,4469,9545,28.987827,
163,16879500,4469,9545,28.987888,
164,16730200,4466,9545,28.98795,
165,16841800,4468,9545,28.988005,
166,16951900,4469,9545,28.988058,
167,16993000,4468,9545,28.98811,
168,16695500,4469,9545,28.988153,
169,16424500,4468,9545,28.988195,
170,16494600,4471,9545,28.98824,
171,16633200,4470,9545,28.988277,
172,16701200,4471,9545,28.988316,
173,17035700,4469,9545,28.98835,
174,17067200,4470,9545,28.988382,
175,16490200,4470,9545,28.988405,
176,16384300,4470,9545,28.988434,
177,16826500,4471,9545,28.988464,
178,16668600,4468,9545,28.988497,
179,16809800,4470,9545,28.988514,
180,16625500,4469,9545,28.988539,
181,16307600,4470,9545,28.988562,
182,16110900,4469,9545,28.988585,
183,16112500,4469,9545,28.988605,
184,16444000,4468,9545,28.98862,
185,16351300,4468,9545,28.988636,
186,16592200,4468,9545,28.988659,
187,16418800,4468,9545,28.988678,
188,16409800,4467,9545,28.988693,
189,16648100,4468,9545,28.988708,
190,16795000,4469,9545,28.988724,
191,16463300,4467,9545,28.988739,
192,17129900,4469,9545,28.988747,
193,16762300,4468,9545,28.988762,
194,16785300,4469,9545,28.988777,
195,16551600,4470,9545,28.988789,
196,16524300,4469,9545,28.988796,
197,16341200,4470,9545,28.988804,
198,16713100,4471,9545,28.988811,
199,16285200,4470,9545,28.98882,
200,16449200,4470,9545,28.988827,
201,16375500,4471,9545,28.988834,
202,15969200,4472,9545,28.988842,
203,16110500,4472,9545,28.98885,
204,16033600,4472,9545,28.988857,
205,15887000,4470,9545,28.988865,
206,15879300,4470,9545,28.98887,
207,16140700,4469,9545,28.98887,
208,16184300,4466,9545,28.988878,
209,16015000,4467,9545,28.988882,
210,16249100,4467,9545,28.988888,
211,16060100,4466,9545,28.988894,
212,16101100,4466,9545,28.988894,
213,16043900,4467,9545,28.988894,
214,16188800,4467,9545,28.988894,
215,16163700,4468,9545,28.9889,
216,16289100,4467,9545,28.9889,
217,16610100,4468,9545,28.9889,
218,16348600,4467,9545,28.9889,
219,16277600,4468,9545,28.9889,
220,16155600,4468,9545,28.9889,
221,15917600,4468,9545,28.9889,
222,15817900,4467,9545,28.9889,
223,16118500,4468,9545,28.9889,
224,16522600,4467,9545,28.9889,
225,16403000,4467,9545,28.9889,
226,16562100,4468,9545,28.9889,
227,16475300,4467,9545,28.9889,
228,16299700,4467,9545,28.9889,
229,16411300,4468,9545,28.9889,
230,16123500,4467,9545,28.9889,
231,16408600,4467,9545,28.9889,
232,16164600,4467,9545,28.9889,
233,16499400,4468,9545,28.9889,
234,16343300,4467,9545,28.9889,
235,16637900,4467,9545,28.9889,
236,16455200,4467,9545,28.9889,
237,16396600,4467,9545,28.9889,
238,15829600,4467,9545,28.9889,
239,15805500,4467,9545,28.9889,
240,15944900,4467,9545,28.9889,
241,16066300,4468,9545,28.9889,
242,16429800,4467,9545,28.9889,
243,16243100,4467,9545,28.9889,
