step,wall_ns,manifolds,pairs,top_y,awake
0,19976900,4495,9570,35.998295,
1,15913800,4300,9570,35.993866,
2,16092200,4339,9570,35.986713,
3,16204800,4335,9570,35.976837,
4,16438600,4329,9570,35.964233,
5,16265800,4324,9570,35.948902,
6,15790700,4326,9570,35.93085,
7,15640800,4319,9570,35.910072,
8,15590100,4316,9570,35.88657,
9,15609900,4312,9570,35.86034,
10,15904600,4307,9570,35.831387,
11,16104200,4307,9570,35.79971,
12,15896900,4306,9570,35.765305,
13,15904000,4306,9570,35.728176,
14,16057500,4307,9570,35.688324,
15,16333300,4306,9570,35.64575,
16,16273700,4303,9570,35.600445,
17,16184200,4298,9570,35.552414,
18,16238600,4298,9570,35.501663,
19,16103200,4297,9570,35.448185,
20,18990000,5077,9570,35.391983,
21,17809700,4687,9570,35.333054,
22,17739000,4536,9570,35.2714,
23,17344500,4464,9570,35.207024,
24,17360600,4397,9570,35.13992,
25,17142900,4359,9570,35.07009,
26,17079500,4312,9570,34.997536,
27,16965800,4295,9570,34.92226,
28,19455800,4934,9570,34.844257,
29,18578200,4786,9570,34.763527,
30,17958300,4665,9570,34.680073,
31,18447100,4617,9570,34.593895,
32,18183900,4578,9570,34.504993,
33,18068900,4536,9570,34.413364,
34,20109900,5039,9570,34.31901,
35,19386600,4827,9570,34.221935,
36,18119200,4630,9570,34.12213,
37,17696500,4510,9570,34.019604,
38,17499200,4408,9570,33.91435,
39,19384000,4880,9570,33.806374,
40,19846500,4979,9570,33.69567,
41,19397300,4855,9570,33.58224,
42,18606000,4689,9570,33.466087,
43,19402800,4655,9570,33.34721,
44,19982500,5072,9570,33.22561,
45,20293600,5053,9570,33.10128,
46,18527500,4767,9570,32.974224,
47,17544300,4624,9570,32.844448,
48,18791600,4898,9570,32.711945,
49,20220600,5015,9570,32.576717,
50,19048800,4836,9570,32.438763,
51,18532700,4704,9570,32.298084,
52,19262200,4886,9570,32.154682,
53,19581300,4850,9570,32.008553,
54,18654200,4701,9570,31.8597,
55,18583300,4656,9570,31.70812,
56,19024000,4755,9570,31.553818,
57,19843500,4733,9570,31.39679,
58,19094200,4658,9570,31.237036,
59,19184800,4682,9570,31.074558,
60,19342000,4642,9570,30.909355,
61,18715400,4557,9570,30.741426,
62,19328000,4591,9570,30.570772,
63,19164700,4578,9570,30.397394,
64,18994300,4530,9570,30.22129,
65,19111100,4530,9570,30.042463,
66,19069200,4531,9570,29.860909,
67,19192900,4532,9570,29.67663,
68,19416800,4513,9570,29.489626,
69,18956500,4475,9570,29.299898,
70,19086900,4477,9570,29.107445,
71,19001900,4474,9569,28.912266,
72,18499900,4455,9569,28.714361,
73,18201200,4472,9569,28.745037,
74,18138000,4465,9569,28.771923,
75,18521700,4458,9569,28.794498,
76,18204200,4464,9569,28.81284,
77,18165200,4463,9569,28.827902,
78,18502800,4462,9568,28.840885,
79,18296700,4456,9567,28.852116,
80,18230800,4458,9567,28.861916,
81,18425200,4462,9566,28.87016,
82,18723500,4462,9566,28.877672,
83,18410900,4464,9566,28.884876,
84,18515700,4460,9566,28.891674,
85,18536900,4454,9564,28.89812,
86,18441300,4452,9563,28.90361,
87,17804100,4461,9563,28.9092,
88,17735900,4461,9561,28.91393,
89,17710800,4461,9561,28.918192,
90,18338500,4460,9560,28.922281,
91,18130500,4461,9557,28.926441,
92,18012700,4462,9557,28.930197,
93,18016800,4459,9555,28.933605,
94,18030100,4455,9554,28.936785,
95,17974400,4464,9554,28.939753,
96,17818300,4454,9554,28.942532,
97,17741900,4453,9554,28.9452,
98,18671300,4449,9553,28.947609,
99,17880500,4452,9552,28.949892,
100,17926300,4462,9549,28.952118,
101,17732000,4454,9548,28.954184,
102,17874700,4455,9548,28.956179,
103,17861600,4460,9548,28.957949,
104,17795900,4463,9546,28.959707,
105,17629100,4462,9546,28.9613,
106,17808600,4463,9546,28.962826,
107,17926800,4465,9546,28.964285,
108,18145600,4465,9546,28.965742,
109,18130700,4465,9546,28.967031,
110,18077200,4466,9546,28.968155,
111,17504800,4468,9546,28.969242,
112,17203000,4464,9546,28.970312,
113,17686500,4466,9546,28.971327,
114,17530200,4467,9546,28.972305,
115,17796700,4467,9546,28.97322,
116,17686500,4465,9546,28.974094,
117,17656400,4465,9546,28.974928,
118,17693100,4466,9546,28.975708,
119,17516000,4467,9546,28.97645,
120,17536600,4463,9546,28.977146,
121,17722100,4463,9546,28.977818,
122,17639500,4462,9546,28.978441,
123,17958600,4463,9546,28.979033,
124,17956100,4462,9546,28.979574,
125,18036400,4463,9546,28.98009,
126,17418200,4466,9546,28.980558,
127,17648300,4466,9546,28.98101,
128,17432700,4468,9546,28.981445,
129,17655800,4465,9546,28.981846,
130,17920900,4468,9546,28.982235,
131,17778700,4466,9546,28.982603,
132,17244200,4467,9546,28.982958,
133,17087200,4465,9546,28.983284,
134,17092200,4464,9546,28.983583,
135,17504400,4468,9546,28.98386,
136,17501700,4468,9546,28.984129,
137,17757000,4466,9546,28.984394,
138,17393400,4469,9546,28.984627,
139,17652200,4467,9545,28.984867,
140,17389800,4466,9545,28.985088,
141,17551400,4466,9545,28.985296,
142,17438200,4466,9545,28.985493,
143,17704600,4468,9545,28.98568,
144,17613900,4471,9545,28.985857,
145,17548600,4470,9545,28.986025,
146,17403600,4468,9545,28.986183,
147,17319000,4467,9545,28.98633,
148,16969200,4465,9545,28.98647,
149,16996300,4466,9545,28.986603,
150,17408500,4467,9545,28.986732,
151,17290600,4467,9545,28.986855,
152,17467200,4465,9545,28.986967,
153,17158200,4464,9545,28.987074,
154,17251800,4465,9545,28.987171,
155,17576500,4466,9545,28.987276,
156,17321100,4466,9545,28.98737,
157,17220300,4464,9545,28.987461,
158,17269200,4468,9545,28.987545,
159,17334800,4466,9545,28.987621,
160,17543100,4466,9545,28.98769,
161,17582400,4467,9545,28.98776,
162,17541400,4469,9545,28.987827,
163,17516100,4469,9545,28.987888,
164,17461200,4466,9545,28.98795,
165,17237800,4468,9545,28.988005,
166,16943500,4469,9545,28.988058,
167,16965400,4468,9545,28.98811,
168,17470700,4469,9545,28.988153,
169,17270000,4468,9545,28.988195,
170,17164100,4471,9545,28.98824,
171,16953700,4470,9545,28.988277,
172,17542700,4471,9545,28.988316,
173,17586400,4469,9545,28.98835,
174,17142400,4470,9545,28.988382,
175,16785700,4470,9545,28.988405,
176,16773300,4470,9545,28.988434,
177,17293700,4471,9545,28.988464,
178,17483900,4468,9545,28.988497,
179,17511100,4470,9545,28.988514,
180,17328000,4469,9545,28.988539,
181,17426300,4470,9545,28.988562,
182,17115500,4469,9545,28.988585,
183,17291100,4469,9545,28.988605,
184,17271500,4468,9545,28.98862,
185,17404700,4468,9545,28.988636,
186,16844600,4468,9545,28.988659,
187,16665800,4468,9545,28.988678,
188,16694200,4467,9545,28.988693,
189,17116900,4468,9545,28.988708,
190,17142700,4469,9545,28.988724,
191,17214600,4467,9545,28.988739,
