step,wall_ns,manifolds,pairs,top_y,awake
0,19227700,4495,9570,35.998295,
1,15718300,4300,9570,35.993866,
2,15508500,4339,9570,35.986713,
3,15690600,4335,9570,35.976837,
4,15333800,4329,9570,35.964233,
5,15265900,4324,9570,35.948902,
6,15242600,4326,9570,35.93085,
7,15102300,4319,9570,35.910072,
8,15679500,4316,9570,35.88657,
9,15489000,4312,9570,35.86034,
10,15317800,4307,9570,35.831387,
11,15678600,4307,9570,35.79971,
12,15788300,4306,9570,35.765305,
13,15563800,4306,9570,35.728176,
14,15692000,4307,9570,35.688324,
15,15154400,4306,9570,35.64575,
16,14988500,4303,9570,35.600445,
17,14975800,4298,9570,35.552414,
18,14999500,4298,9570,35.501663,
19,15534000,4297,9570,35.448185,
20,18696800,5077,9570,35.391983,
21,17511700,4687,9570,35.333054,
22,16941700,4536,9570,35.2714,
23,16735600,4464,9570,35.207024,
24,16603600,4397,9570,35.13992,
25,16286000,4359,9570,35.07009,
26,16409700,4312,9570,34.997536,
27,16246700,4295,9570,34.92226,
28,18675100,4934,9570,34.844257,
29,18221700,4786,9570,34.763527,
30,17755300,4665,9570,34.680073,
31,17613000,4617,9570,34.593895,
32,17401900,4578,9570,34.504993,
33,17351700,4536,9570,34.413364,
34,19359500,5039,9570,34.31901,
35,18348900,4827,9570,34.221935,
36,17666600,4630,9570,34.12213,
37,17135800,4510,9570,34.019604,
38,16840300,4408,9570,33.91435,
39,18841700,4880,9570,33.806374,
40,18938300,4979,9570,33.69567,
41,18335900,4855,9570,33.58224,
42,17662200,4689,9570,33.466087,
43,17415600,4655,9570,33.34721,
44,19753200,5072,9570,33.22561,
45,19468500,5053,9570,33.10128,
46,17849500,4767,9570,32.974224,
47,17277000,4624,9570,32.844448,
48,18741700,4898,9570,32.711945,
49,19299300,5015,9570,32.576717,
50,18619900,4836,9570,32.438763,
51,17984700,4704,9570,32.298084,
52,18687500,4886,9570,32.154682,
53,18793200,4850,9570,32.008553,
54,18244600,4701,9570,31.8597,
55,17933700,4656,9570,31.70812,
56,18598100,4755,9570,31.553818,
57,18757400,4733,9570,31.39679,
58,18338100,4658,9570,31.237036,
59,18536200,4682,9570,31.074558,
60,18427400,4642,9570,30.909355,
61,18314200,4557,9570,30.741426,
62,18495400,4591,9570,30.570772,
63,18166400,4578,9570,30.397394,
64,18394600,4530,9570,30.22129,
65,18849600,4530,9570,30.042463,
66,18687900,4531,9570,29.860909,
67,18682800,4532,9570,29.67663,
68,18593300,4513,9570,29.489626,
69,18376700,4475,9570,29.299898,
70,18282200,4477,9570,29.107445,
71,18261000,4474,9569,28.912266,
72,18108200,4455,9569,28.714361,
73,18002300,4472,9569,28.745037,
74,18013100,4465,9569,28.771923,
75,17789400,4458,9569,28.794498,
76,17576100,4464,9569,28.81284,
77,17734600,4463,9569,28.827902,
78,17810600,4462,9568,28.840885,
79,17515000,4456,9567,28.852116,
80,17705700,4458,9567,28.861916,
81,17687000,4462,9566,28.87016,
82,17622700,4462,9566,28.877672,
83,17824900,4464,9566,28.884876,
84,17825200,4460,9566,28.891674,
85,17658900,4454,9564,28.89812,
86,17568800,4452,9563,28.90361,
87,17668800,4461,9563,28.9092,
88,17437600,4461,9561,28.91393,
89,17039100,4461,9561,28.918192,
90,17497600,4460,9560,28.922281,
91,17321900,4461,9557,28.926441,
92,17383500,4462,9557,28.930197,
93,17389500,4459,9555,28.933605,
94,17119100,4455,9554,28.936785,
95,17187500,4464,9554,28.939753,
96,17327000,4454,9554,28.942532,
97,17427900,4453,9554,28.9452,
98,17330600,4449,9553,28.947609,
99,17103900,4452,9552,28.949892,
100,16896400,4462,9549,28.952118,
101,17210000,4454,9548,28.954184,
102,16771700,4455,9548,28.956179,
103,17143400,4460,9548,28.957949,
104,17238400,4463,9546,28.959707,
105,17176600,4462,9546,28.9613,
106,17146600,4463,9546,28.962826,
107,17136800,4465,9546,28.964285,
108,17056200,4465,9546,28.965742,
109,17051100,4465,9546,28.967031,
110,17259500,4466,9546,28.968155,
111,16967600,4468,9546,28.969242,
112,17420300,4464,9546,28.970312,
113,17281200,4466,9546,28.971327,
114,17322600,4467,9546,28.972305,
115,18304900,4467,9546,28.97322,
116,16725800,4465,9546,28.974094,
117,16644400,4465,9546,28.974928,
118,17160300,4466,9546,28.975708,
119,16965400,4467,9546,28.97645,
120,16928400,4463,9546,28.977146,
121,17045400,4463,9546,28.977818,
122,17019800,4462,9546,28.978441,
123,16927500,4463,9546,28.979033,
124,17404200,4462,9546,28.979574,
125,16830200,4463,9546,28.98009,
126,16876300,4466,9546,28.980558,
127,16889800,4466,9546,28.98101,
128,16931300,4468,9546,28.981445,
129,16944500,4465,9546,28.981846,
130,16950500,4468,9546,28.982235,
131,16978700,4466,9546,28.982603,
132,16985000,4467,9546,28.982958,
133,17014100,4465,9546,28.983284,
134,17060000,4464,9546,28.983583,
135,16997000,4468,9546,28.98386,
136,17069100,4468,9546,28.984129,
137,16855600,4466,9546,28.984394,
138,16882800,4469,9546,28.984627,
139,16716800,4467,9545,28.984867,
140,16825700,4466,9545,28.985088,
141,16499400,4466,9545,28.985296,
142,16717700,4466,9545,28.985493,
143,16819800,4468,9545,28.98568,
144,16885900,4471,9545,28.985857,
145,16941700,4470,9545,28.986025,
146,16912200,4468,9545,28.986183,
147,16788800,4467,9545,28.98633,
148,16733700,4465,9545,28.98647,
149,16809300,4466,9545,28.986603,
150,16872500,4467,9545,28.986732,
151,16894500,4467,9545,28.986855,
152,16707600,4465,9545,28.986967,
153,16708500,4464,9545,28.987074,
154,16813200,4465,9545,28.987171,
155,16661400,4466,9545,28.987276,
156,16659900,4466,9545,28.98737,
