crate	file	owner	kind	container	elem	class	ecs_form	owning_entity	growth	addr_cached	destination	group	shape	site
aether_lang	crates/aether_lang/src/ast.rs	AetherBlock::broken	field	Vec	BrokenConstruct	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	AetherBlock::constructs	field	Vec	Construct	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	AtPose::Translation.0	field	Vec	Expr	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	AtPose::Verbatim.0	field	Box<T>	Expr	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	BundleDef::fields	field	Vec	(Ident, Type)	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	ColorLit::components	field	Vec	Expr	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	ComponentDef::fields	field	Vec	(Ident, Type)	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	ComponentDef::hooks	field	Vec	(HookKind, Path)	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	ComponentDef::requires	field	Vec	Path	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	Construct::Material.0	field	Box<T>	MaterialDef	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
aether_lang	crates/aether_lang/src/ast.rs	EvField::Participant.components	field	Vec	Path	C	out-of-scope:compile-time	none	once	no	out-of-scope: compile-time proc-macro code, never linked into the shipped binary	macros-aether	unscanned	-
